title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,publishedDate,comments
A Haunting In Venice | Official Trailer | In Theaters Sept 15,yEddsSwweyE,5548272,40461,0,1806,0,2023-07-19T12:39:34Z,"['Good, but well known scary tricks, excellent actors and scene. Story ok, nothing spectacular.', 'Saw this last night w my lady. We both loved it. Great reprise of the 40s-50s who done it', 'I really enjoyed the film.  Brilliant cast, high camp and really funny in parts too.  Great plot twists. As ever, Venice looked fantastic.', 'She has aged so gracefully, woman looks like she&#39;s only a few years past the Crouching Tiger era. And it&#39;s so refreshing to see her in a non &quot;Asian type role.&quot;', 'I will give spoilers &gt;:)', 'Why make such crap? We already have Poirot- David Suchet.', 'Some a**hat is commenting on everything here about how this movie is trash. <br><br>Let me tell you straight having seen it. This film is not a HORROR. It is a CRIME THRILLER. It’s based on the Poirot case ‘The Halloween Party.’ If you are an INTELLIGENT person, you’ll enjoy this. It’s full of beautiful imagery and dramatic filming. It’s a subtle drama, so you have to listen carefully. You won’t like it if you’re just a dumb CHAV with a brain the size of a pea. <br><br>This has a spooky air around it for the season and because of the time of year in which it’s set. It’s an excellent film. <br><br>Lone, dumb commenter @ThePresentation010, get knotted. Absolute fool.', 'nice', 'IT WAS THE PARROT!!', 'This is horror?', '<b>This wasn&#39;t a horror movie.  It was a waste money and time.</b>', '<b>This movie is trash.</b><br>Saw it.<br>Dont.', 'I just saw this film, and I enjoyed it.  Visually beautiful and excellent acting.', 'Was the movie good or is the nun 2 better ? I&#39;m Trynna hit up the movies tomarrow', 'Kenneth Branagh is a prime example of a trained and highly experienced actor capable of being completely uncharismatic in everything he&#39;s in. This looks like a fun movie, but even in this short trailer I&#39;m totally unconvinced by his performance. Think I&#39;ll give it a miss.']"
A Haunting in Venice - Movie Review,HxRvV6RYv_Q,168895,8105,0,575,0,2023-09-12T15:30:06Z,"['Once you see David Suchet as Poirot, no other version matters. Still haven’t seen these unnecessary American versions and I don’t have any plans to do so. Lol', 'I took my girlfriend to see this movie for a date night. We had the whole theater to ourselves, which we didn&#39;t mind really. We thoroughly enjoyed this film It is so much fun, and yes the horror aspect isn&#39;t that  great, but it still had it&#39;s moments.', 'If you juiced up the haunted house stuff and then had maybe a Judi Dench, or Maggie Smith instead of Tina Fey, you might really have had something here', 'Nothing to say on the AWFUL dialogue? I made it 15 minutes- maybe. I honestly thought the whole thing was written and directed by AI or something. I’m insulted this movie exists.', 'Sadly I was very disappointed with this one… It wasn‘t that scary and it wasn‘t exciting. The biggest problem with these movies are the bland characters (with the exception of Poirot), I hate how  a lot of these backstories are just pure exposition…', 'Saw it this evening. Loved Branagh&#39;s Orient Express, really liked his Death on the Nile, &amp; loved this adaptation of Hallowe&#39;en Party. End left me shattered &amp; in tears. Major influences are Don&#39;t Look Now (Nicolas Roeg, 1973, which this film lifted a great deal from), &amp; Eyes Wide Shut (Stanley Kubrick, 1999; its costuming &amp; production design influence this film). The scary jump shots seem fake until Branagh has you by the throat, at which point they&#39;re straight out of an LSD hallucination. Best thing about this film: the casting, which could not be bettered. Yeoh convinced me the ghosts were real.', 'I saw this film last night. I found Branagh&#39;s excessively stylistic direction jarring and annoying. The number of unnecessary jump scares was ridiculous. I think he gave his ego priority over our entertainment. Some of the characters also over-acted under his direction. Michelle Yeoh (whose role was much too short) and the cinematography of Venice were the best things about this movie. I would rate it 2.5 out of 5.', 'Boring ass movie', 'I wonder about his framing sometimes.  He&#39;s clearly making an effort to disorient the viewer, but there is a convention to frame conversations where both conversants are on the outside third of a frame unless there is some unspoken connection to them.  This happens haphazardly throughout the film with opaque motivation.  He&#39;s a good filmmaker, so I don&#39;t think it&#39;s a mistake, but I don&#39;t understand the idea. Also, I think the movie suffers from not giving a full picture of, at least the main floor.  The geography is important.  At one point, it makes no sense, because of a reveal.  Still, I am a a &quot;locked door mystery&quot; afficionado, and there were some reveals I thought were legitimate.  Acting great throughout.  Tina Fey did a real, legitimate job here.', 'I went in blind and I thought this was part of the “Haunting in Connecticut”  movie line until I saw the detective. I also like mysteries but yeah the marketing felt off', 'Chris Sussman is a hack', 'Tina Fey played the same character from only murders in the building lol', 'There was a family with 3 children ranging 16 - 20. Otherwise my friend and I (31 &amp; 32) were the youngest people there 😆', 'I did not find the film scary.  It was interesting that a murderer was trying to use the supernatural to cover up the murder.', 'Great review as always Chris! I haven&#39;t seen the movie but heard similar comments about the marketing/production behind it misunderstanding the identity of the film as quite a few people I know who watched this were expecting a horror film and while they enjoyed the murder mystery, were quite unamused by the weak attempts at horror throughout. A shame because it otherwise looks really interesting!<br><br>If you&#39;re able to, watch Past Lives. IMO the best film of 2023.']"
A Haunting in Venice - Movie Review,Ar0YWSsBHq0,194545,11200,0,524,0,2023-09-15T21:46:08Z,"['I thought there were going to be demons', 'Boring', 'Please do it lives inside', 'All of the horror movies playing in theater right now suck, so this will have to do.', 'I went to see this tonight completely blind. Didn&#39;t know it was the third of anything.<br><br>I gotta say, this was a very boring movie because I was expecting a horror movie and not a sillyish murder movie.', 'The obnoxious amount of cheap jump scares is what killed this movie for me.', 'I felt that so much of the movie- all those interrogations had nothing to do with the plot. It was way too slow and quiet. Acting was OK at best. And the end reveal was way too cliche. The little boy was the best part.', 'I didn’t hate the first one but I really despised the second one so I was literally going to wait for this review to determine if it was worth seeing , guess I will give it a try.', 'A haunting in Venice<br>Death on the Nile<br>Murder on the Orient express', 'I don&#39;t think you&#39;re capable of doing a decent movie review without constant needless swearing. I challenge you to put a movie review online that does not contain a single swear.', 'Maybe you were being punished for your constant swearing needless swearing during your views', 'I hated that movie so much. I was really disappointed. I am a massive fan of Branagh but I have always had issues with the &quot;Shakespearean&quot; style applied to an Agatha Christie story. This one is the weakest of the 3. It is always easy since the first one to dismiss certain characters as the &quot;murderer&quot;. Great aesthetics though. Branagh is a great director but his Poirot series does not work for me. I hope others enjoyed it, but I couldn&#39;t.', 'I quite liked the first movie.  I was &quot;meh&quot; on the second.  I thought this one was really good.  I think part of the fun of these kinds of movies (more common back-in-the-day) is trying to parse the clues to play along.  I think they cheated on one here, but i might have missed it, but several others were cool and fun to track<br><br>This is not a spoiler, but I noticed several shots where the characters are set up with lights right above their heads, with one seemingly no, I couldn&#39;t make sense of it, I wonder if someone else can.', 'Went to this movie completely blind and didn’t even know it was in this trilogy till I saw the detective. For some reason I thought it was related to the “Haunting in Connecticut “ 🤷🏻\u200d♂️', 'Please go see A Haunting in Venic!! It was such a great film!!  Want to support it to make another one of these mystery films']"
A Haunting In Venice | Teaser Trailer | 20th Century Studios,oRCKIP5paEU,5465407,47687,0,1488,0,2023-04-26T17:47:13Z,"['This should&#39;ve been released on Halloween not on September besides isn&#39;t a month of horror October and only October is the real deal and true month of horror ok<br><br>Anyone else saying that it belongs in the month of September has zero brain cells on horror movies', 'Cheese', 'It was okay for me. I love horror and murder mystery so it was fun to watch. I really liked the ending', 'Hey Ken, don’t ruin this one too.', 'Excellent film', 'Worst ever. Don’t waste your time', 'Big hercule ready to mash things up', '😮😮😮😮 q filme', 'Yawn', 'I heard that this was going to be one of the BEST!  Can hardly wait!  I love who-done-its!', 'A Haunting in Venice wasn’t really what I was expecting, but it kept me interested throughout most of it with it’s interesting shots, all-star cast, and a Knives Out style story.', 'I really hope we get more of Hercule poirot movies', 'horror?', 'Great movie. There was no butler and the plot thickens.  😎  Thanks for a Hallowe&#39;en Party movie.', 'IT&quot;S SOO GOOD GUYS. GO SEE IT.']"
A Haunting In Venice | Haunting Mystery | In Theaters Sept 15,pycEdLxISBk,3958561,1123,0,67,0,2023-08-15T16:00:39Z,"['Amazing movie, right in the nostalgia', 'Amo esse filme ❤ muito bom', 'after all these years of having heard of Agatha Christie-- cant recall if i&#39;d read any of her books at all, Evil Under The Sun perhaps is her most familliar. It would be interesting if indeed ol&#39; mr. Branagh&#39;d do a remake/adaptation of the movie. Honestly i never found A Haunting In Venice that thrilling, and i felt the whole who-dunnit schtick&#39;s now gone so old.', 'one of the best trilogy of all time', 'I really loved the ambience of this film! In between scenes you get random shots of various overlooked spots in the house that just add to the unnerving quality.', 'A true masterpiece best of the series<br><br><a href=""https://youtu.be/vQnuRGoC-s8?feature=shared"">https://youtu.be/vQnuRGoC-s8?feature=shared</a>', 'Saw this with the hubby last night. Good old fashioned whodunit. Would definitely recommend it.', 'My problem with this movie is David Suchet plaintive cry in Murder on the Orient Express. He’s a Catholic and the guilty must stand before god but these people had been given too much to hold. And now here’s a haunting. ThT doesn’t fit well in Hercules religion', 'I have watched the movie an hour ago, I was literally on the &quot; edge of my seat&quot;..<br>The movie is beyond all expectations when it comes to direction...I was sooo in love with the Younger generation &#39;s performance.Suprisingly, they were my favorite - especially the pair of brother and sister 😻...<br>If you go and watch,you will find out', 'Some differences from the novel....but still, this movie is a masterpiece... 👌👌👍👍😍😍', 'I love seeing great source material treated with honor and respect....', 'It looks interesting, but I don&#39;t know why they keep pushing the idea that this is based on the novel Halloween Party.  This story  looks nothing like the plot where a young girls is drowned at a children&#39;s party.  Did they even read the book?', 'I want to see the movie. 🍿', 'I’m so excited!!! Just in time for my birthday!!', 'I MISSCLICKED NOOOOOOOOO😂😂😂😂']"
A Haunting In Venice | Lost My Faith | In Theaters Sept 15,RCqfq22FUcI,11995,209,0,7,0,2023-09-05T17:00:25Z,"['More about truth than lies.  What is the whole truth?', 'A haunting in Venice is spooky fun movie from blue pictures movies and shows.', 'Why are you adding clickbait thumbnails to official trailers??', 'Knock Knock, Johnny&#39;s At Your Door.']"
A Haunting in Venice Trailer #1 (2023),tvzk8crozP4,51426,872,0,72,0,2023-07-19T13:28:03Z,"['Agatha would be spinning in her grave!', 'Was not expecting a horror movie out of these movies o.o that is awesome.', '❤', 'Fun concept.', 'Tina Fey - nope', 'Another pointless remake.', 'There is only one Poirot and his name is David Suchet.', 'I never seen none of theses films but i will . Who is the killer.', 'Wow! Goodness gracious!!!! Just when I thought these mysteries couldn&#39;t get any better; they took it up a MAJOR notch. Impressive.', 'It&#39;s the bird!!!!!!!!!!', 'Kenneth Branagh doing his best to murder Poirot.', 'Dang this looks really good', 'Tina Fey in a non-comedy is a surprise. I’ll be curious to see what she can do. She’s a good actor.', 'This is going to be a strange movie. Kinda cool to see Tina Fey in a real movie. Why is Branagh wearing blue contacts? Very, noticeably blue contacts. They&#39;re like ocean blue contacts. Will that be part of the plot or the characters&#39; story?', 'I don&#39;t think I ever seen a scary PG 13 movie..']"
The Ending Of A Haunting In Venice Explained,l-dycwCzOzA,18351,411,0,59,0,2023-09-15T00:00:30Z,"['How did you like the ending?', 'the ending told you that whether you believe that ghost exists or not, it doesnt matter, the truth still reveals anyway', 'My husband and I saw the film on a weekday in the early afternoon and there were like six other people. It made it feel a bit isolating and amazing because of it.', 'I feel that Looper forgot to mention on how besides on choosing on how to live his life, its more so him believing that there is, while little, a shred of evidence of the supernatural which breaks his cynicism and pessimism on life such that there may be a presence of something beyond the physical world which would mean that there is hope that ultimately the scales of balance &amp; justice can be achieved which then reignites his vigor as a detective.', 'I just watched this at the theater and the twist was SO GOOD!!!', 'But I don’t understand, were that one girl who was hiding in the house hallucination or one of the orphans?', '⚠️(SPOILER ALERT)⚠️<br><br>So am I right to assume that while the supposed haunted murders were in fact just committed by human, and Poirot seeing ghosts were possibly hallucinogenic drug effects, that there was still supernatural going on? Her mother’s death may or may not be based on Poirot’s hallucination, but how to explain the voice change of Joyce Reynolds and the turning of the chair? The M forming at the walls? The water turning hot in the bathroom?', 'i loved the movie but the detective’s accent was SO HEAVY i couldn’t understand most of the dialogue 😭', 'I’m still confused to how the Medium was able to mimic the daughter’s voice during the seance?', 'It was an amazing movie! I loved the twist and the ending.', 'From what i have seen in the movie, I would say that Rowena developed severe abandonment issues possibly from her lover or husband leaving her due to not wanting to have children. This possible incident caused Rowena to develop a fixation on her daughter to remain with her forever and not be alone. This is just my theory, I would like to debate this in the  replies,', 'It was good, kept me guessing to the end. I love mystery movies like that❤', 'None of these movies ever do Agatha Christie Justice I want to find someone who can do it right 🤦🏽\u200d♂️', 'A good hbo movie', 'It was a wonderfully spooky time, perfect for the season!']"
A Haunting in Venice Trailer 2 (2023),pKUgt7-HaoE,41962,807,0,46,0,2023-07-19T14:09:39Z,"['I love the assistants characters.', 'Time waste movie 👎👎👎👎', 'This reminded me a bit of Woman in black. Like the fact they change the title to Haunting in Venice -- it allows the audience to watch the movie without comparing it to the original Halloween Party.  Can&#39;t wait to see it..though seems a bit too scary - LOL', 'this is suppose to be an adaptation of ‘Hallowe&#39;en Party’?!?   \U0001fae4😵\u200d💫\U0001fae4😵\u200d💫\U0001fae4', '<a href=""https://www.youtube.com/watch?v=pKUgt7-HaoE&amp;t=0m42s"">0:42</a> Just read &quot;Hallowe&#39;en Party&quot;....that boy is doomed.', 'One of the people literally became haunted', 'This better not fuck up hercule Poirot image', 'The other Poirot movies were kind of lame, .. but this looks interesting.', 'Kenneth Branagh again as a detective, please tell me his the same character here as hercule pairot in the movie Death on the Nile... this will be awesome...', 'Sir Kenneth Braghnah taking the series to a next level...', 'Awesome I can&#39;t wait ♥️ 😍', 'the case in which Poirot&#39;s common sense &quot;irked&quot; 🗿.', 'Intriguing it may look — but it bears absolutely no resemblance to the source material, Halloween Party by Agatha Christie. (And an American Ariadne Oliver??)', 'Way different from the last one', 'I respect Branagh as an actor &amp; film maker but his is the worst redition of Poirot ever,']"
A Haunting In Venice | Teaser Trailer | 20th Century Studios,LoTzksrQO3Y,504950,837,0,38,0,2023-04-26T18:10:29Z,"['Hmmm...Poirot in a horror film. I still don&#39;t know if I&#39;m ready for that', 'idk... horror + Poirot sounds ridiculous<br>Not sure I want to see this. Orient was weird but this is on another level. I bet that&#39;s why they changed the title so ppl like me can&#39;t complain they created a shty script out of an otherwise good book', 'Nah', 'It&#39;s going to be a disaster, again. 😒 It&#39;s based on Halloween Party??', 'M.Y.: I am here to support you because God always keeps me updated. Congratulations, you deserve all your success and I am so very proud for you!! 🥳🎉🥳🎉', 'More Anti White propaganda', 'Never thought I’d see Tina Fey in a Horror movie but here we are!', 'That title is so close to a Mummy reference. Or is that backwards?', 'Love to see Poirot ! But jumping from thriller to maybe horror? Or just a side plot ? But this definitely looks promising. If it’s connected to to Christie then it has potential. With actors like Yeoh , Fey &amp; Branagh can be really impactful.', 'This will be amazing', 'Yeoh keeps to be everywhere, anywhere, at once.', 'Lame !!!! So played out , clearly running out of ideas 💡', 'Ya they&#39;re called Talismans.  You focus with intent on something and it might just manifest.  Think positive thoughts,  and don&#39;t play with ouiija boards.', 'Ooo my god... Hercule Poirot is Back❤️', 'First film 🔥🔥🔥<br>Second Film ⬇️⬇️⬇️<br>Thied Film 👻👻👻']"
